,t_count,d_count,tf,idf,tf_idf,DSI-70,DSI-71,DSI-72,DSI-73,DSI-74,DSI-75,DSI-76,DSI-77,DSI-78,DSI-79,DSI-80,DSI-81,DSI-82,DSI-83,DSI-84,DSI-85,DSI-86,DSI-87,DSI-88,DSI-89,DSI-90,DSI-91
policy time,1,1,0.0002994011976047904,1.3424226808222062,0.00040192295833000187,,,,,,1.0,,,,,,,,,,,,,,,,
case study,1,1,0.0002994011976047904,1.3424226808222062,0.00040192295833000187,,,,,,,1.0,,,,,,,,,,,,,,,
san diego,1,1,0.0002994011976047904,1.3424226808222062,0.00040192295833000187,,,,,,,,,,,,,,,,,,,,1.0,,
television,1,1,0.0002994011976047904,1.3424226808222062,0.00040192295833000187,,1.0,,,,,,,,,,,,,,,,,,,,
short-sightedness,1,1,0.0002994011976047904,1.3424226808222062,0.00040192295833000187,,,,,1.0,,,,,,,,,,,,,,,,,
recipient,1,1,0.0002994011976047904,1.3424226808222062,0.00040192295833000187,1.0,,,,,,,,,,,,,,,,,,,,,
u.s. arm sale,1,1,0.0002994011976047904,1.3424226808222062,0.00040192295833000187,,,,,1.0,,,,,,,,,,,,,,,,,
assistance,1,1,0.0002994011976047904,1.3424226808222062,0.00040192295833000187,,,,,1.0,,,,,,,,,,,,,,,,,
trade meeting,1,1,0.0002994011976047904,1.3424226808222062,0.00040192295833000187,,,1.0,,,,,,,,,,,,,,,,,,,
pledge,1,1,0.0002994011976047904,1.3424226808222062,0.00040192295833000187,,,,,,,,,,,,,,1.0,,,,,,,,
pain,1,1,0.0002994011976047904,1.3424226808222062,0.00040192295833000187,,,1.0,,,,,,,,,,,,,,,,,,,
december meeting,1,1,0.0002994011976047904,1.3424226808222062,0.00040192295833000187,,,,1.0,,,,,,,,,,,,,,,,,,
platform,1,1,0.0002994011976047904,1.3424226808222062,0.00040192295833000187,,,,,,,1.0,,,,,,,,,,,,,,,
oligarch hit,1,1,0.0002994011976047904,1.3424226808222062,0.00040192295833000187,,,,,,,1.0,,,,,,,,,,,,,,,
league,1,1,0.0002994011976047904,1.3424226808222062,0.00040192295833000187,,,,,,,,,,,,,,,,,,,1.0,,,
to whom it may concern,1,1,0.0002994011976047904,1.3424226808222062,0.00040192295833000187,,,,,,,,,,,,,,,,,,1.0,,,,
specie,1,1,0.0002994011976047904,1.3424226808222062,0.00040192295833000187,,,,,,,,,,,,,,,,,,,,1.0,,
endangered species act,1,1,0.0002994011976047904,1.3424226808222062,0.00040192295833000187,,,,,,,,,,,,,,,,,,,,1.0,,
fitness column,1,1,0.0002994011976047904,1.3424226808222062,0.00040192295833000187,,,,,,,,,,,,,,,,,,1.0,,,,
put,1,1,0.0002994011976047904,1.3424226808222062,0.00040192295833000187,,,,,,1.0,,,,,,,,,,,,,,,,
cornyn,1,1,0.0002994011976047904,1.3424226808222062,0.00040192295833000187,1.0,,,,,,,,,,,,,,,,,,,,,
fix,1,1,0.0002994011976047904,1.3424226808222062,0.00040192295833000187,,,,,,,,1.0,,,,,,,,,,,,,,
statesman,1,1,0.0002994011976047904,1.3424226808222062,0.00040192295833000187,,,,,,,,,,,1.0,,,,,,,,,,,
producer,1,1,0.0002994011976047904,1.3424226808222062,0.00040192295833000187,,,1.0,,,,,,,,,,,,,,,,,,,
day address,1,1,0.0002994011976047904,1.3424226808222062,0.00040192295833000187,,,,,,,,,,,1.0,,,,,,,,,,,
virginia canter,1,1,0.0002994011976047904,1.3424226808222062,0.00040192295833000187,,,,,,,1.0,,,,,,,,,,,,,,,
right consideration,1,1,0.0002994011976047904,1.3424226808222062,0.00040192295833000187,,,,,1.0,,,,,,,,,,,,,,,,,
complexity,1,1,0.0002994011976047904,1.3424226808222062,0.00040192295833000187,,,,,,,1.0,,,,,,,,,,,,,,,
incident,1,1,0.0002994011976047904,1.3424226808222062,0.00040192295833000187,,,,,,,,,,,,,,,,,,,1.0,,,
signature campaign promise,1,1,0.0002994011976047904,1.3424226808222062,0.00040192295833000187,,,,,,,,1.0,,,,,,,,,,,,,,
establishment republicans,1,1,0.0002994011976047904,1.3424226808222062,0.00040192295833000187,,,,,,,,,,,,1.0,,,,,,,,,,
trade partner,1,1,0.0002994011976047904,1.3424226808222062,0.00040192295833000187,,,1.0,,,,,,,,,,,,,,,,,,,
historian,1,1,0.0002994011976047904,1.3424226808222062,0.00040192295833000187,,,,1.0,,,,,,,,,,,,,,,,,,
certain washington politician,1,1,0.0002994011976047904,1.3424226808222062,0.00040192295833000187,,,,,,,,,,,,,,,,1.0,,,,,,
hire,1,1,0.0002994011976047904,1.3424226808222062,0.00040192295833000187,,,,,,,,,,,,1.0,,,,,,,,,,
rhetoric,1,1,0.0002994011976047904,1.3424226808222062,0.00040192295833000187,,,,,,,,,,,1.0,,,,,,,,,,,
u.s. trade representative,1,1,0.0002994011976047904,1.3424226808222062,0.00040192295833000187,,,1.0,,,,,,,,,,,,,,,,,,,
gop senator,1,1,0.0002994011976047904,1.3424226808222062,0.00040192295833000187,,,1.0,,,,,,,,,,,,,,,,,,,
fbi director comey,1,1,0.0002994011976047904,1.3424226808222062,0.00040192295833000187,,,,1.0,,,,,,,,,,,,,,,,,,
fuel,1,1,0.0002994011976047904,1.3424226808222062,0.00040192295833000187,,,,,,,,,1.0,,,,,,,,,,,,,
author michael wolff,1,1,0.0002994011976047904,1.3424226808222062,0.00040192295833000187,,1.0,,,,,,,,,,,,,,,,,,,,
commerce department official,1,1,0.0002994011976047904,1.3424226808222062,0.00040192295833000187,,,,,1.0,,,,,,,,,,,,,,,,,
record straight,1,1,0.0002994011976047904,1.3424226808222062,0.00040192295833000187,,,,,,,,,,,,,,1.0,,,,,,,,
south china sea,1,1,0.0002994011976047904,1.3424226808222062,0.00040192295833000187,,,,,,,,,,,1.0,,,,,,,,,,,
mr. kushners team,1,1,0.0002994011976047904,1.3424226808222062,0.00040192295833000187,,,,,,,1.0,,,,,,,,,,,,,,,
automation,1,1,0.0002994011976047904,1.3424226808222062,0.00040192295833000187,,,,,,,,,,,,,,,,,,,,,1.0,
head,1,1,0.0002994011976047904,1.3424226808222062,0.00040192295833000187,,,,,,1.0,,,,,,,,,,,,,,,,
clarification,1,1,0.0002994011976047904,1.3424226808222062,0.00040192295833000187,,,,1.0,,,,,,,,,,,,,,,,,,
aug.,1,1,0.0002994011976047904,1.3424226808222062,0.00040192295833000187,,,,,,,,,,,1.0,,,,,,,,,,,
science,1,1,0.0002994011976047904,1.3424226808222062,0.00040192295833000187,,,,,,,1.0,,,,,,,,,,,,,,,
trumps democratic predecessor,1,1,0.0002994011976047904,1.3424226808222062,0.00040192295833000187,,,,,1.0,,,,,,,,,,,,,,,,,
race,1,1,0.0002994011976047904,1.3424226808222062,0.00040192295833000187,,,,,,,,,,,,,,,,,,,,,,1.0
house gop,1,1,0.0002994011976047904,1.3424226808222062,0.00040192295833000187,,,,,,,,,,,,,,,,,,,,,,1.0
loosening,1,1,0.0002994011976047904,1.3424226808222062,0.00040192295833000187,,,,,1.0,,,,,,,,,,,,,,,,,
senate race,1,1,0.0002994011976047904,1.3424226808222062,0.00040192295833000187,,,,,,,,,,,,,,,,,,,,,,1.0
virginia governor,1,1,0.0002994011976047904,1.3424226808222062,0.00040192295833000187,,,,,,,,,,,,,,,,,,,,,,1.0
cayman islands,1,1,0.0002994011976047904,1.3424226808222062,0.00040192295833000187,,,,,,,1.0,,,,,,,,,,,,,,,
buy american plan,1,1,0.0002994011976047904,1.3424226808222062,0.00040192295833000187,,,,,1.0,,,,,,,,,,,,,,,,,
law firm,1,1,0.0002994011976047904,1.3424226808222062,0.00040192295833000187,,,,,,,1.0,,,,,,,,,,,,,,,
exhaustion,1,1,0.0002994011976047904,1.3424226808222062,0.00040192295833000187,,,,,,,,,,,,1.0,,,,,,,,,,
sen. marco rubio,1,1,0.0002994011976047904,1.3424226808222062,0.00040192295833000187,,,,,,,,,,,,,,,,,,,,,,1.0
broad restriction,1,1,0.0002994011976047904,1.3424226808222062,0.00040192295833000187,,,1.0,,,,,,,,,,,,,,,,,,,
white house departure,1,1,0.0002994011976047904,1.3424226808222062,0.00040192295833000187,,,,1.0,,,,,,,,,,,,,,,,,,
u.s. trade representative robert lighthizer,1,1,0.0002994011976047904,1.3424226808222062,0.00040192295833000187,,,1.0,,,,,,,,,,,,,,,,,,,
stephen a. schwarzman,1,1,0.0002994011976047904,1.3424226808222062,0.00040192295833000187,,,,,,,1.0,,,,,,,,,,,,,,,
resilience,1,1,0.0002994011976047904,1.3424226808222062,0.00040192295833000187,,,,,,,,,1.0,,,,,,,,,,,,,
flake,1,1,0.0002994011976047904,1.3424226808222062,0.00040192295833000187,1.0,,,,,,,,,,,,,,,,,,,,,
election campaign mr trump,1,1,0.0002994011976047904,1.3424226808222062,0.00040192295833000187,,,,,,,,,,,,,,,1.0,,,,,,,
antithesis,1,1,0.0002994011976047904,1.3424226808222062,0.00040192295833000187,,,,,,,,,,,1.0,,,,,,,,,,,
trump lawyer john dowd,1,1,0.0002994011976047904,1.3424226808222062,0.00040192295833000187,,,,1.0,,,,,,,,,,,,,,,,,,
back,1,1,0.0002994011976047904,1.3424226808222062,0.00040192295833000187,,,,,,,,1.0,,,,,,,,,,,,,,
news conference,1,1,0.0002994011976047904,1.3424226808222062,0.00040192295833000187,,,,,,,,,,,,,,1.0,,,,,,,,
politician,1,1,0.0002994011976047904,1.3424226808222062,0.00040192295833000187,,,,,,,,,,,,,,,,,1.0,,,,,
u.s. china,1,1,0.0002994011976047904,1.3424226808222062,0.00040192295833000187,,,,,,,,,,,1.0,,,,,,,,,,,
fact coalition,1,1,0.0002994011976047904,1.3424226808222062,0.00040192295833000187,,,,,,,1.0,,,,,,,,,,,,,,,
union address,1,1,0.0002994011976047904,1.3424226808222062,0.00040192295833000187,,,1.0,,,,,,,,,,,,,,,,,,,
exxon mobil chief,1,1,0.0002994011976047904,1.3424226808222062,0.00040192295833000187,,,,,,,1.0,,,,,,,,,,,,,,,
access road,1,1,0.0002994011976047904,1.3424226808222062,0.00040192295833000187,,,,,,,,,,,,,,,,,,,,1.0,,
theory everybody,1,1,0.0002994011976047904,1.3424226808222062,0.00040192295833000187,,,,1.0,,,,,,,,,,,,,,,,,,
defiance,1,1,0.0002994011976047904,1.3424226808222062,0.00040192295833000187,,,,,1.0,,,,,,,,,,,,,,,,,
funding,1,1,0.0002994011976047904,1.3424226808222062,0.00040192295833000187,,,,,,,,1.0,,,,,,,,,,,,,,
justice,1,1,0.0002994011976047904,1.3424226808222062,0.00040192295833000187,,,,1.0,,,,,,,,,,,,,,,,,,
wall street executive,1,1,0.0002994011976047904,1.3424226808222062,0.00040192295833000187,,,,,,,1.0,,,,,,,,,,,,,,,
mention navigator,1,1,0.0002994011976047904,1.3424226808222062,0.00040192295833000187,,,,,,,1.0,,,,,,,,,,,,,,,
gun maker,1,1,0.0002994011976047904,1.3424226808222062,0.00040192295833000187,,,,,1.0,,,,,,,,,,,,,,,,,
dozen,1,1,0.0002994011976047904,1.3424226808222062,0.00040192295833000187,,,,,,,1.0,,,,,,,,,,,,,,,
arm control advocate,1,1,0.0002994011976047904,1.3424226808222062,0.00040192295833000187,,,,,1.0,,,,,,,,,,,,,,,,,
new zealand,1,1,0.0002994011976047904,1.3424226808222062,0.00040192295833000187,,,,,,,,,,,1.0,,,,,,,,,,,
controversy,1,1,0.0002994011976047904,1.3424226808222062,0.00040192295833000187,,,,,,,,,,,,,,,,,,,,,,1.0
connecticut democrat,1,1,0.0002994011976047904,1.3424226808222062,0.00040192295833000187,,,,,,,1.0,,,,,,,,,,,,,,,
ethic,1,1,0.0002994011976047904,1.3424226808222062,0.00040192295833000187,,,,,,,1.0,,,,,,,,,,,,,,,
grant,1,1,0.0002994011976047904,1.3424226808222062,0.00040192295833000187,,,,,,,,,,,,,,,,,,,,,1.0,
water,1,1,0.0002994011976047904,1.3424226808222062,0.00040192295833000187,,,,,,,,,,,,,,,,,,,1.0,,,
mr. trumps ultimatum,1,1,0.0002994011976047904,1.3424226808222062,0.00040192295833000187,,,,,,,,,,,,,,,,,1.0,,,,,
currency,1,1,0.0002994011976047904,1.3424226808222062,0.00040192295833000187,,,,,,,,,,,,,,,,,1.0,,,,,
research associate,1,1,0.0002994011976047904,1.3424226808222062,0.00040192295833000187,,,,,,,,,,,1.0,,,,,,,,,,,
paul manafort,1,1,0.0002994011976047904,1.3424226808222062,0.00040192295833000187,,,,1.0,,,,,,,,,,,,,,,,,,
folk,1,1,0.0002994011976047904,1.3424226808222062,0.00040192295833000187,,,,1.0,,,,,,,,,,,,,,,,,,
version,1,1,0.0002994011976047904,1.3424226808222062,0.00040192295833000187,,,,,,,,,,,,,,1.0,,,,,,,,
budget,1,1,0.0002994011976047904,1.3424226808222062,0.00040192295833000187,,,,,,,,,,,,,,,,,,,1.0,,,
partnership,1,1,0.0002994011976047904,1.3424226808222062,0.00040192295833000187,,,,,,,1.0,,,,,,,,,,,,,,,
engineering job,1,1,0.0002994011976047904,1.3424226808222062,0.00040192295833000187,,,,,,,,,,,,,,,,,,,,,1.0,
know,1,1,0.0002994011976047904,1.3424226808222062,0.00040192295833000187,,1.0,,,,,,,,,,,,,,,,,,,,
rules,1,1,0.0002994011976047904,1.3424226808222062,0.00040192295833000187,,,,,1.0,,,,,,,,,,,,,,,,,
defense program,1,1,0.0002994011976047904,1.3424226808222062,0.00040192295833000187,,,,,1.0,,,,,,,,,,,,,,,,,
initiative,1,1,0.0002994011976047904,1.3424226808222062,0.00040192295833000187,,,,,1.0,,,,,,,,,,,,,,,,,
shares,1,1,0.0002994011976047904,1.3424226808222062,0.00040192295833000187,,,,,1.0,,,,,,,,,,,,,,,,,
college degree,1,1,0.0002994011976047904,1.3424226808222062,0.00040192295833000187,,,,,,,,,,,,,,,,,,,,,1.0,
childhood arrivals,1,1,0.0002994011976047904,1.3424226808222062,0.00040192295833000187,,,,,,,,1.0,,,,,,,,,,,,,,
transition,1,1,0.0002994011976047904,1.3424226808222062,0.00040192295833000187,,,,1.0,,,,,,,,,,,,,,,,,,
rexnord corp.,1,1,0.0002994011976047904,1.3424226808222062,0.00040192295833000187,,,,,,,,,,,,,,,,,,,,,1.0,
speak,1,1,0.0002994011976047904,1.3424226808222062,0.00040192295833000187,,,,,,,,,,,,,,1.0,,,,,,,,
lead,1,1,0.0002994011976047904,1.3424226808222062,0.00040192295833000187,,,,,,,,,,,,,,1.0,,,,,,,,
involvement,1,1,0.0002994011976047904,1.3424226808222062,0.00040192295833000187,,,,,,,,,,,,,,,,,1.0,,,,,
trump deal,1,1,0.0002994011976047904,1.3424226808222062,0.00040192295833000187,,,,,,,,,,,,,,,,,,,,,1.0,
right record,1,1,0.0002994011976047904,1.3424226808222062,0.00040192295833000187,,,,,1.0,,,,,,,,,,,,,,,,,
collapse,1,1,0.0002994011976047904,1.3424226808222062,0.00040192295833000187,,,,,,,,,,,,,,,,,1.0,,,,,
staffing exodus,1,1,0.0002994011976047904,1.3424226808222062,0.00040192295833000187,,,,,,,,,,,,1.0,,,,,,,,,,
navigator investment,1,1,0.0002994011976047904,1.3424226808222062,0.00040192295833000187,,,,,,,1.0,,,,,,,,,,,,,,,
whirlpool,1,1,0.0002994011976047904,1.3424226808222062,0.00040192295833000187,,,1.0,,,,,,,,,,,,,,,,,,,
system operator,1,1,0.0002994011976047904,1.3424226808222062,0.00040192295833000187,,,,,,,,,1.0,,,,,,,,,,,,,
hope hicks,1,1,0.0002994011976047904,1.3424226808222062,0.00040192295833000187,,,,,,1.0,,,,,,,,,,,,,,,,
trump plan,1,1,0.0002994011976047904,1.3424226808222062,0.00040192295833000187,,,,,1.0,,,,,,,,,,,,,,,,,
misread,1,1,0.0002994011976047904,1.3424226808222062,0.00040192295833000187,,,,,,,,,,,1.0,,,,,,,,,,,
bfps ventures,1,1,0.0002994011976047904,1.3424226808222062,0.00040192295833000187,,,,,,,1.0,,,,,,,,,,,,,,,
production worker,1,1,0.0002994011976047904,1.3424226808222062,0.00040192295833000187,,,,,,,,,,,,,,,,,,,,,1.0,
video,1,1,0.0002994011976047904,1.3424226808222062,0.00040192295833000187,,,,,,1.0,,,,,,,,,,,,,,,,
americas,1,1,0.0002994011976047904,1.3424226808222062,0.00040192295833000187,,,,,1.0,,,,,,,,,,,,,,,,,
favor,1,1,0.0002994011976047904,1.3424226808222062,0.00040192295833000187,,,,1.0,,,,,,,,,,,,,,,,,,
activist,1,1,0.0002994011976047904,1.3424226808222062,0.00040192295833000187,,,,,,,,,,,,,,,,,,,,1.0,,
victory,1,1,0.0002994011976047904,1.3424226808222062,0.00040192295833000187,,,,,,,,,,,1.0,,,,,,,,,,,
margin,1,1,0.0002994011976047904,1.3424226808222062,0.00040192295833000187,,,,,,,,,,,,,,,,,,,,,,1.0
western-led,1,1,0.0002994011976047904,1.3424226808222062,0.00040192295833000187,,,,,,,,,,,1.0,,,,,,,,,,,
steel case,1,1,0.0002994011976047904,1.3424226808222062,0.00040192295833000187,,,1.0,,,,,,,,,,,,,,,,,,,
midwest,1,1,0.0002994011976047904,1.3424226808222062,0.00040192295833000187,,,,,,,,,1.0,,,,,,,,,,,,,
violent,1,1,0.0002994011976047904,1.3424226808222062,0.00040192295833000187,,,,,,,,,,,,,,,,,1.0,,,,,
injury,1,1,0.0002994011976047904,1.3424226808222062,0.00040192295833000187,,,1.0,,,,,,,,,,,,,,,,,,,
policy agenda,1,1,0.0002994011976047904,1.3424226808222062,0.00040192295833000187,,,,,,,1.0,,,,,,,,,,,,,,,
comment period,1,1,0.0002994011976047904,1.3424226808222062,0.00040192295833000187,,,,,1.0,,,,,,,,,,,,,,,,,
senate minority whip dick durbin,1,1,0.0002994011976047904,1.3424226808222062,0.00040192295833000187,,,,,,,,1.0,,,,,,,,,,,,,,
burden,1,1,0.0002994011976047904,1.3424226808222062,0.00040192295833000187,,,,,1.0,,,,,,,,,,,,,,,,,
international trafficking,1,1,0.0002994011976047904,1.3424226808222062,0.00040192295833000187,,,,,1.0,,,,,,,,,,,,,,,,,
decision-making,1,1,0.0002994011976047904,1.3424226808222062,0.00040192295833000187,,,1.0,,,,,,,,,,,,,,,,,,,
careerist,1,1,0.0002994011976047904,1.3424226808222062,0.00040192295833000187,,,,,,,,,,,,1.0,,,,,,,,,,
adviser business holding,1,1,0.0002994011976047904,1.3424226808222062,0.00040192295833000187,,,,,,,1.0,,,,,,,,,,,,,,,
michael flynn,1,1,0.0002994011976047904,1.3424226808222062,0.00040192295833000187,,,,1.0,,,,,,,,,,,,,,,,,,
reaction,1,1,0.0002994011976047904,1.3424226808222062,0.00040192295833000187,,,,,,,,,,,,,,,,1.0,,,,,,
feature,1,1,0.0002994011976047904,1.3424226808222062,0.00040192295833000187,,,,,,,,,1.0,,,,,,,,,,,,,
lawyers,1,1,0.0002994011976047904,1.3424226808222062,0.00040192295833000187,,,,1.0,,,,,,,,,,,,,,,,,,
itc commissioner,1,1,0.0002994011976047904,1.3424226808222062,0.00040192295833000187,,,1.0,,,,,,,,,,,,,,,,,,,
gap,1,1,0.0002994011976047904,1.3424226808222062,0.00040192295833000187,,,,,,,,,,,,,,,,,,,,,,1.0
south carolina,1,1,0.0002994011976047904,1.3424226808222062,0.00040192295833000187,,,,,,,,,,,,,,,,,,,1.0,,,
framework,1,1,0.0002994011976047904,1.3424226808222062,0.00040192295833000187,,,,,1.0,,,,,,,,,,,,,,,,,
aide meeting,1,1,0.0002994011976047904,1.3424226808222062,0.00040192295833000187,,,,1.0,,,,,,,,,,,,,,,,,,
study,1,1,0.0002994011976047904,1.3424226808222062,0.00040192295833000187,,1.0,,,,,,,,,,,,,,,,,,,,
wage,1,1,0.0002994011976047904,1.3424226808222062,0.00040192295833000187,,,,,,,,,,,,,,,,,,,,,1.0,
mueller russia probe washington anticipating,1,1,0.0002994011976047904,1.3424226808222062,0.00040192295833000187,,,,1.0,,,,,,,,,,,,,,,,,,
everyone,1,1,0.0002994011976047904,1.3424226808222062,0.00040192295833000187,,1.0,,,,,,,,,,,,,,,,,,,,
middle east,1,1,0.0002994011976047904,1.3424226808222062,0.00040192295833000187,,,,,1.0,,,,,,,,,,,,,,,,,
realignment,1,1,0.0002994011976047904,1.3424226808222062,0.00040192295833000187,,,,,1.0,,,,,,,,,,,,,,,,,
superpower,1,1,0.0002994011976047904,1.3424226808222062,0.00040192295833000187,,,1.0,,,,,,,,,,,,,,,,,,,
twitter,1,1,0.0002994011976047904,1.3424226808222062,0.00040192295833000187,,,,,,,,,,,,,,,,,1.0,,,,,
interior,1,1,0.0002994011976047904,1.3424226808222062,0.00040192295833000187,,,,,,,,,,,,,,,,,,,1.0,,,
speaker,1,1,0.0002994011976047904,1.3424226808222062,0.00040192295833000187,,,,,,,,,,,,,,,,,1.0,,,,,
d-ill.,1,1,0.0002994011976047904,1.3424226808222062,0.00040192295833000187,,,,,,,,1.0,,,,,,,,,,,,,,
investor,1,1,0.0002994011976047904,1.3424226808222062,0.00040192295833000187,,,,,,,1.0,,,,,,,,,,,,,,,
damage,1,1,0.0002994011976047904,1.3424226808222062,0.00040192295833000187,,,1.0,,,,,,,,,,,,,,,,,,,
campaign adviser,1,1,0.0002994011976047904,1.3424226808222062,0.00040192295833000187,,,,,,,,,,,,,,1.0,,,,,,,,
press report,1,1,0.0002994011976047904,1.3424226808222062,0.00040192295833000187,,,,,,,1.0,,,,,,,,,,,,,,,
us economy,1,1,0.0002994011976047904,1.3424226808222062,0.00040192295833000187,,,,,,,,,,,,,,,,,,,1.0,,,
safety regulation,1,1,0.0002994011976047904,1.3424226808222062,0.00040192295833000187,,,,,,,,,,,,,,,,,,,1.0,,,
capitol hill,1,1,0.0002994011976047904,1.3424226808222062,0.00040192295833000187,,1.0,,,,,,,,,,,,,,,,,,,,
raytheon co,1,1,0.0002994011976047904,1.3424226808222062,0.00040192295833000187,,,,,1.0,,,,,,,,,,,,,,,,,
breakthrough,1,1,0.0002994011976047904,1.3424226808222062,0.00040192295833000187,1.0,,,,,,,,,,,,,,,,,,,,,
arm maker,1,1,0.0002994011976047904,1.3424226808222062,0.00040192295833000187,,,,,1.0,,,,,,,,,,,,,,,,,
boeing,1,1,0.0002994011976047904,1.3424226808222062,0.00040192295833000187,,,,,1.0,,,,,,,,,,,,,,,,,
ignorance,1,1,0.0002994011976047904,1.3424226808222062,0.00040192295833000187,,,,,,,,,,,1.0,,,,,,,,,,,
weather,1,1,0.0002994011976047904,1.3424226808222062,0.00040192295833000187,,,,,,,,,1.0,,,,,,,,,,,,,
absence,1,1,0.0002994011976047904,1.3424226808222062,0.00040192295833000187,,,,,,,,,,,,1.0,,,,,,,,,,
eastern district,1,1,0.0002994011976047904,1.3424226808222062,0.00040192295833000187,,,,1.0,,,,,,,,,,,,,,,,,,
energy panel,1,1,0.0002994011976047904,1.3424226808222062,0.00040192295833000187,,,,,,,,,1.0,,,,,,,,,,,,,
cable news,1,1,0.0002994011976047904,1.3424226808222062,0.00040192295833000187,,,,,,1.0,,,,,,,,,,,,,,,,
gop hand,1,1,0.0002994011976047904,1.3424226808222062,0.00040192295833000187,,,,,,,,,,,,1.0,,,,,,,,,,
energy price,1,1,0.0002994011976047904,1.3424226808222062,0.00040192295833000187,,,,,,,,,1.0,,,,,,,,,,,,,
credit,1,1,0.0002994011976047904,1.3424226808222062,0.00040192295833000187,,,,,,,,,,,,,,,,,,,,,,1.0
operative,1,1,0.0002994011976047904,1.3424226808222062,0.00040192295833000187,,,,,,,,,,,,1.0,,,,,,,,,,
market share,1,1,0.0002994011976047904,1.3424226808222062,0.00040192295833000187,,,,,,,,,1.0,,,,,,,,,,,,,
lobbyist,1,1,0.0002994011976047904,1.3424226808222062,0.00040192295833000187,,,,,1.0,,,,,,,,,,,,,,,,,
right concern,1,1,0.0002994011976047904,1.3424226808222062,0.00040192295833000187,,,,,1.0,,,,,,,,,,,,,,,,,
intractability,1,1,0.0002994011976047904,1.3424226808222062,0.00040192295833000187,,,,,,,,,,,1.0,,,,,,,,,,,
certification,1,1,0.0002994011976047904,1.3424226808222062,0.00040192295833000187,,,,,,,1.0,,,,,,,,,,,,,,,
confirmation process,1,1,0.0002994011976047904,1.3424226808222062,0.00040192295833000187,,,,,,,1.0,,,,,,,,,,,,,,,
europeans,1,1,0.0002994011976047904,1.3424226808222062,0.00040192295833000187,,,,,,,,,,,,,,,,,1.0,,,,,
durbin,1,1,0.0002994011976047904,1.3424226808222062,0.00040192295833000187,,,,,,,,1.0,,,,,,,,,,,,,,
chuck rosenberg,1,1,0.0002994011976047904,1.3424226808222062,0.00040192295833000187,,,,1.0,,,,,,,,,,,,,,,,,,
city,1,1,0.0002994011976047904,1.3424226808222062,0.00040192295833000187,,,,,,,,,,,,,,,,,1.0,,,,,
assault rifle,1,1,0.0002994011976047904,1.3424226808222062,0.00040192295833000187,,,,,1.0,,,,,,,,,,,,,,,,,
president trade vision,1,1,0.0002994011976047904,1.3424226808222062,0.00040192295833000187,,,1.0,,,,,,,,,,,,,,,,,,,
couple,1,1,0.0002994011976047904,1.3424226808222062,0.00040192295833000187,,,1.0,,,,,,,,,,,,,,,,,,,
campaign arm,1,1,0.0002994011976047904,1.3424226808222062,0.00040192295833000187,,,,,,,,,,,,,,,,,,,,,,1.0
support,1,1,0.0002994011976047904,1.3424226808222062,0.00040192295833000187,,,,,,,,,,,,,,,,1.0,,,,,,
fraud,1,1,0.0002994011976047904,1.3424226808222062,0.00040192295833000187,,1.0,,,,,,,,,,,,,,,,,,,,
child,1,1,0.0002994011976047904,1.3424226808222062,0.00040192295833000187,1.0,,,,,,,,,,,,,,,,,,,,,
permission,1,1,0.0002994011976047904,1.3424226808222062,0.00040192295833000187,,,,,,,,,,,,,,,,,,,,1.0,,
fortune,1,1,0.0002994011976047904,1.3424226808222062,0.00040192295833000187,,,,,,,1.0,,,,,,,,,,,,,,,
bloomberg news,1,1,0.0002994011976047904,1.3424226808222062,0.00040192295833000187,,,,,,,1.0,,,,,,,,,,,,,,,
context,1,1,0.0002994011976047904,1.3424226808222062,0.00040192295833000187,,,,,,,,,,,,,,,,1.0,,,,,,
advantage,1,1,0.0002994011976047904,1.3424226808222062,0.00040192295833000187,,,,,,,1.0,,,,,,,,,,,,,,,
manufacturer,1,1,0.0002994011976047904,1.3424226808222062,0.00040192295833000187,,,,,1.0,,,,,,,,,,,,,,,,,
van jackson,1,1,0.0002994011976047904,1.3424226808222062,0.00040192295833000187,,,,,,,,,,,1.0,,,,,,,,,,,
us outer continental shelf,1,1,0.0002994011976047904,1.3424226808222062,0.00040192295833000187,,,,,,,,,,,,,,,,,,,1.0,,,
spokesman,1,1,0.0002994011976047904,1.3424226808222062,0.00040192295833000187,,,,,,,1.0,,,,,,,,,,,,,,,
budget document,1,1,0.0002994011976047904,1.3424226808222062,0.00040192295833000187,,,,,,,,,,,,,,,,,,,,1.0,,
lockheed,1,1,0.0002994011976047904,1.3424226808222062,0.00040192295833000187,,,,,1.0,,,,,,,,,,,,,,,,,
violation,1,1,0.0002994011976047904,1.3424226808222062,0.00040192295833000187,,,1.0,,,,,,,,,,,,,,,,,,,
credibility,1,1,0.0002994011976047904,1.3424226808222062,0.00040192295833000187,,,,,,,,,,,1.0,,,,,,,,,,,
saving,1,1,0.0002994011976047904,1.3424226808222062,0.00040192295833000187,,,,,,,,,,,,,,,1.0,,,,,,,
obstruction,1,1,0.0002994011976047904,1.3424226808222062,0.00040192295833000187,,,,1.0,,,,,,,,,,,,,,,,,,
nbc thursday,1,1,0.0002994011976047904,1.3424226808222062,0.00040192295833000187,,,,,,,,,,,,,,,,1.0,,,,,,
target date,1,1,0.0002994011976047904,1.3424226808222062,0.00040192295833000187,1.0,,,,,,,,,,,,,,,,,,,,,
