,t_count,concept,d_count,tf,idf,tf_idf,weight,DSI-01,DSI-02,DSI-03,DSI-04,DSI-05,DSI-06,DSI-07,DSI-08,DSI-09,DSI-10,DSI-11,DSI-12,DSI-13,DSI-14,DSI-15,DSI-16,DSI-17,DSI-18,DSI-19,DSI-20,DSI-21,DSI-22,DSI-23,DSI-24,DSI-25,DSI-26,DSI-27,DSI-28,DSI-29,DSI-30,DSI-31,DSI-32,DSI-33,DSI-34,DSI-35,DSI-36,DSI-37,DSI-38,DSI-39,DSI-40,DSI-41,DSI-42,DSI-43,DSI-44,DSI-45,DSI-46,DSI-47,DSI-48,DSI-49,DSI-50,DSI-51,DSI-52,DSI-53,DSI-54,DSI-55,DSI-56,DSI-57,DSI-58,DSI-59,DSI-60,DSI-61,DSI-62,DSI-63,DSI-64,DSI-65,DSI-66,DSI-67,DSI-68,DSI-69,DSI-70,DSI-71,DSI-72,DSI-73,DSI-74,DSI-75,DSI-76,DSI-77,DSI-78,DSI-79,DSI-80,DSI-81,DSI-82,DSI-83,DSI-84,DSI-85,DSI-86,DSI-87,DSI-88,DSI-89,DSI-90,DSI-91
tax plan,2,taxes,1,0.0002726281352235551,1.9590413923210936,0.0005340898016142567,1.0,,,,0.03076923076923077,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ohio,2,unitedStates,2,0.0002726281352235551,1.6580113966571124,0.00045202055525003066,1.0,,,,,,,,,,,,,,,,0.00847457627118644,,,,,,,,,,,,,,,,0.02127659574468085,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
eminent domain,2,borderWall,1,0.0002726281352235551,1.9590413923210936,0.0005340898016142567,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.02702702702702703,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
intelligence briefing,2,communication,1,0.0002726281352235551,1.9590413923210936,0.0005340898016142567,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0425531914893617,,,,,,,,,,,,,,,,
methane,2,environmental,2,0.0002726281352235551,1.6580113966571124,0.00045202055525003066,1.0,,,,,,,,,,,,,,,,,,,,,,,,0.012658227848101266,,,,0.015873015873015872,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
curry,2,racialProvocation,1,0.0002726281352235551,1.9590413923210936,0.0005340898016142567,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.046511627906976744,,,,,,,,,,,,,,,,,,,,,,,,,,
iraq,2,middleEasternNations,2,0.0002726281352235551,1.6580113966571124,0.00045202055525003066,1.0,0.018518518518518517,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.006289308176100629,,,,,,,,,,,,,,,,,,,,,,,,,
lawEnforcement,2,trumpBusiness,2,0.0002726281352235551,1.6580113966571124,0.00045202055525003066,1.0,0.018518518518518517,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.013513513513513514,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
stormy daniel,2,controversy,1,0.0002726281352235551,1.9590413923210936,0.0005340898016142567,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.03773584905660377,,,,
crude oil,2,energy,2,0.0002726281352235551,1.6580113966571124,0.00045202055525003066,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.037037037037037035,,,0.03333333333333333,,,,,,,,,
benefitcost ratio,2,americanBusiness,1,0.0002726281352235551,1.9590413923210936,0.0005340898016142567,1.0,,,,,,,,,0.014925373134328358,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
otto warmbier,2,northSouthKorea,2,0.0002726281352235551,1.6580113966571124,0.00045202055525003066,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.014492753623188406,,,,,,0.011764705882352941,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
hegemony,2,government,1,0.0002726281352235551,1.9590413923210936,0.0005340898016142567,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.02564102564102564,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
charter school,2,education,1,0.0002726281352235551,1.9590413923210936,0.0005340898016142567,5.0,,,,,0.19607843137254902,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
amendment,2,budget,2,0.0002726281352235551,1.6580113966571124,0.00045202055525003066,1.0,,,0.01282051282051282,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.009259259259259259,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
g20,2,foreignPolicy,1,0.0002726281352235551,1.9590413923210936,0.0005340898016142567,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.04081632653061224,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
hurricane irma,2,naturalDisaster,2,0.0002726281352235551,1.6580113966571124,0.00045202055525003066,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.01098901098901099,,,,,,,,,,,,,,,0.017241379310344827,,,,,,,,,,,,,,,,,,,,,,
propaganda,2,conflict,2,0.0002726281352235551,1.6580113966571124,0.00045202055525003066,1.0,,,,,,,,,,,,,,,,,,,,,,0.007751937984496124,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.01282051282051282,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
trade step,2,trade,1,0.0002726281352235551,1.9590413923210936,0.0005340898016142567,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.010869565217391304,,,,,,,,,,,,,,,,,,,
thaad,2,northSouthKorea,1,0.0002726281352235551,1.9590413923210936,0.0005340898016142567,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.02127659574468085,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
villaraigosa,2,trumpOpposition,1,0.0002726281352235551,1.9590413923210936,0.0005340898016142567,1.0,,,,,,,,,,,,,,,,,0.01098901098901099,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
killchain,2,conflict,1,0.0002726281352235551,1.9590413923210936,0.0005340898016142567,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.012578616352201259,,,,,,,,,,,,,,,,,,,,,,,,,
energy industry,2,energy,1,0.0002726281352235551,1.9590413923210936,0.0005340898016142567,1.0,,,,,,,,,,,,,,,,,,,,0.03225806451612903,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
deanHeller,2,republican,1,0.0002726281352235551,1.9590413923210936,0.0005340898016142567,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.021052631578947368,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
bond,2,racialProvocation,2,0.0002726281352235551,1.6580113966571124,0.00045202055525003066,1.0,,,,,,,,,0.007462686567164179,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.017543859649122806,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
withdrawal,2,climateChange,2,0.0002726281352235551,1.6580113966571124,0.00045202055525003066,1.0,,,0.01282051282051282,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.01694915254237288,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
coal mining,2,environmental,2,0.0002726281352235551,1.6580113966571124,0.00045202055525003066,1.0,,,,,,,,0.014925373134328358,,,,,,,,,,,,,,,,0.012658227848101266,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
stronghold,2,trumpOpposition,1,0.0002726281352235551,1.9590413923210936,0.0005340898016142567,1.0,,,,,,,,,,,,,,,,,0.01098901098901099,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
rickScott,2,usPolitician,2,0.0002726281352235551,1.6580113966571124,0.00045202055525003066,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.01098901098901099,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.017543859649122806,,,
ahca,2,healthcare,1,0.0002726281352235551,1.9590413923210936,0.0005340898016142567,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.012048192771084338,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
vice presidentelect mike penny,2,trumpAdministration,2,0.0002726281352235551,1.6580113966571124,0.00045202055525003066,1.0,,,,,0.0196078431372549,,,,,,,,,0.004545454545454545,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
american president,2,foreignPolicy,2,0.0002726281352235551,1.6580113966571124,0.00045202055525003066,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.02040816326530612,,,,,,0.007194244604316547,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
campaign promise,2,presidentialCampaign,2,0.0002726281352235551,1.6580113966571124,0.00045202055525003066,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.014492753623188406,,,,,0.014925373134328358,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
dershowitz,2,russiaElectionHacking,1,0.0002726281352235551,1.9590413923210936,0.0005340898016142567,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.012578616352201259,,,,,,,,,,,,,,,,,,
u intelligence,2,russiaElectionHacking,1,0.0002726281352235551,1.9590413923210936,0.0005340898016142567,1.0,,,,,,,,,,,,,0.014184397163120567,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
border barrier,2,borderWall,2,0.0002726281352235551,1.6580113966571124,0.00045202055525003066,1.0,,,,,,,,,,,,,,,0.014705882352941176,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.020833333333333332,,
trade agenda,2,trade,2,0.0002726281352235551,1.6580113966571124,0.00045202055525003066,1.0,,,,,,,,,,,,,,,,0.00847457627118644,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.005434782608695652,,,,,,,,,,,,,,,,,,,
blair,2,media,1,0.0002726281352235551,1.9590413923210936,0.0005340898016142567,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.023809523809523808,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
israel,2,middleEasternNations,2,0.0002726281352235551,1.6580113966571124,0.00045202055525003066,1.0,,,,,,,,,,,,,,,,,,,,,,,,,0.02631578947368421,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.01818181818181818,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
libya,2,travelBan,2,0.0002726281352235551,1.6580113966571124,0.00045202055525003066,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,0.017857142857142856,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.012987012987012988,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
bombast,2,trumpCommunication,1,0.0002726281352235551,1.9590413923210936,0.0005340898016142567,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.014388489208633094,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
sen jeff flake,2,usPolitician,2,0.0002726281352235551,1.6580113966571124,0.00045202055525003066,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.012345679012345678,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.017543859649122806,,,,,,,,,,,,,,
health care cost,2,healthcare,2,0.0002726281352235551,1.6580113966571124,0.00045202055525003066,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.02127659574468085,,,,,,,,0.011904761904761904,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
climate hero,2,climateChange,1,0.0002726281352235551,1.9590413923210936,0.0005340898016142567,1.0,,,,,,,,,,,,,,,,,,,,,0.011764705882352941,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
assange,2,russiaElectionHacking,1,0.0002726281352235551,1.9590413923210936,0.0005340898016142567,1.0,,,,,,,,,,,,,0.014184397163120567,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
clean,2,environmental,2,0.0002726281352235551,1.6580113966571124,0.00045202055525003066,1.0,,,0.01282051282051282,,,,,,,,,,,,,,,,,,,,,,,,,0.015873015873015872,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
reporting,2,media,2,0.0002726281352235551,1.6580113966571124,0.00045202055525003066,1.0,,,,,,,,,,,,,,,,,,,,,0.0058823529411764705,,0.00909090909090909,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
fbiDirector,2,fbi,2,0.0002726281352235551,1.6580113966571124,0.00045202055525003066,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,0.017241379310344827,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.008130081300813009,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
jurist,2,supremeCourt,1,0.0002726281352235551,1.9590413923210936,0.0005340898016142567,1.0,,,,,,,,,,0.03773584905660377,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
constituent,2,healthcare,1,0.0002726281352235551,1.9590413923210936,0.0005340898016142567,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.012048192771084338,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
tax burden,2,taxes,1,0.0002726281352235551,1.9590413923210936,0.0005340898016142567,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.031746031746031744,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
first amendment,2,racialProvocation,1,0.0002726281352235551,1.9590413923210936,0.0005340898016142567,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.046511627906976744,,,,,,,,,,,,,,,,,,,,,,,,,,
james robart,2,trumpCommunication,1,0.0002726281352235551,1.9590413923210936,0.0005340898016142567,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.025,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
greenhouse gas emission,2,environmental,2,0.0002726281352235551,1.6580113966571124,0.00045202055525003066,1.0,,,,,,,,,,,,,,,,,,,,,0.0058823529411764705,,,0.012658227848101266,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
affidavit,2,russiaElectionHacking,1,0.0002726281352235551,1.9590413923210936,0.0005340898016142567,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.012578616352201259,,,,,,,,,,,,,,,,,,
electricity,2,energy,1,0.0002726281352235551,1.9590413923210936,0.0005340898016142567,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.038461538461538464,,,,,,,,,,,,,
us fish and wildlife service,2,environmentalPolicy,1,0.0002726281352235551,1.9590413923210936,0.0005340898016142567,1.0,,,,,,,,,,,,,,,,,,,0.011764705882352941,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
trading abuse,2,trumpBusiness,2,0.0002726281352235551,1.6580113966571124,0.00045202055525003066,1.0,,,0.01282051282051282,,,,,0.014925373134328358,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
suspends immigration,2,immigration,2,0.0002726281352235551,1.6580113966571124,0.00045202055525003066,1.0,0.018518518518518517,,,,,,,,,,,,,,,0.00847457627118644,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
trade action,2,trade,1,0.0002726281352235551,1.9590413923210936,0.0005340898016142567,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.010869565217391304,,,,,,,,,,,,,,,,,,,
tweet saturday morning,2,trumpCommunication,1,0.0002726281352235551,1.9590413923210936,0.0005340898016142567,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.03389830508474576,,,,,,,,,,,,,,,,,,,,
asheville,2,trumpOpposition,1,0.0002726281352235551,1.9590413923210936,0.0005340898016142567,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.025974025974025976,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
mike lee,2,usPolitician,2,0.0002726281352235551,1.6580113966571124,0.00045202055525003066,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.010526315789473684,,,,,,0.006024096385542169,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
boehner,2,usPolitician,1,0.0002726281352235551,1.9590413923210936,0.0005340898016142567,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.025974025974025976,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
delury,2,northSouthKorea,1,0.0002726281352235551,1.9590413923210936,0.0005340898016142567,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.015503875968992248,,,,,,,,,,,
budget committee,2,budget,1,0.0002726281352235551,1.9590413923210936,0.0005340898016142567,1.0,,,,,,,,,,,,0.03636363636363636,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
accord,2,foreignPolicy,2,0.0002726281352235551,1.6580113966571124,0.00045202055525003066,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.009259259259259259,,,,0.01694915254237288,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
angela merkel,2,europeanNation,1,0.0002726281352235551,1.9590413923210936,0.0005340898016142567,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.04081632653061224,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
taxpayer money,2,taxes,2,0.0002726281352235551,1.6580113966571124,0.00045202055525003066,1.0,,,,,,,,,,,,,,,0.014705882352941176,,,,,,,,,,0.02631578947368421,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
spending program,2,economy,1,0.0002726281352235551,1.9590413923210936,0.0005340898016142567,1.0,,,,,,,,,0.014925373134328358,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
cabinet secretary,2,trumpAdministration,1,0.0002726281352235551,1.9590413923210936,0.0005340898016142567,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.010869565217391304,,,,,,,,,,,,,,,,,,,
trading volume,2,northSouthKorea,1,0.0002726281352235551,1.9590413923210936,0.0005340898016142567,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.018518518518518517,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
john mccain,2,usPolitician,2,0.0002726281352235551,1.6580113966571124,0.00045202055525003066,1.0,,,,,,,,,,,,,0.0070921985815602835,,,,,,,,,0.007751937984496124,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
us trade data,2,trade,2,0.0002726281352235551,1.6580113966571124,0.00045202055525003066,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.037037037037037035,,,0.03333333333333333,,,,,,,,,
us delegation,2,climateChange,1,0.0002726281352235551,1.9590413923210936,0.0005340898016142567,1.0,,,,,,,,,,,,,,,,,,,,,0.011764705882352941,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
condemnation,2,racialProvocation,2,0.0002726281352235551,1.6580113966571124,0.00045202055525003066,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.014925373134328358,,,,,,,,,,,,0.017543859649122806,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
central america,2,daca,1,0.0002726281352235551,1.9590413923210936,0.0005340898016142567,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.022727272727272728,,,,,,,,,,,,,,,,,,,,,,,,
traveler,2,travelBan,2,0.0002726281352235551,1.6580113966571124,0.00045202055525003066,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.014285714285714285,,,,,,,,,,,0.012987012987012988,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
connecticut,2,trumpOpposition,1,0.0002726281352235551,1.9590413923210936,0.0005340898016142567,1.0,,,,,,,,,,,,,,,,,0.01098901098901099,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
chuck grassley,2,republican,1,0.0002726281352235551,1.9590413923210936,0.0005340898016142567,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.029850746268656716,,,,,,,,
united technology,2,jobs,1,0.0002726281352235551,1.9590413923210936,0.0005340898016142567,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.028985507246376812,
intervention,2,conflict,2,0.0002726281352235551,1.6580113966571124,0.00045202055525003066,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.017241379310344827,,,,,0.012987012987012988,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
u virgin island,2,naturalDisaster,2,0.0002726281352235551,1.6580113966571124,0.00045202055525003066,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.01098901098901099,,,,,,,,,,,,,,,0.017241379310344827,,,,,,,,,,,,,,,,,,,,,,
carbon dioxide,2,energy,1,0.0002726281352235551,1.9590413923210936,0.0005340898016142567,1.0,,,,,,,,,,,,,,,,,,,0.011764705882352941,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
tower,2,trumpBusiness,1,0.0002726281352235551,1.9590413923210936,0.0005340898016142567,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.023809523809523808,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
chiefofstaff john kelly,2,trumpAdministration,2,0.0002726281352235551,1.6580113966571124,0.00045202055525003066,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.02127659574468085,,,,,,0.01818181818181818,,,,,,,,,,
nbc,2,media,1,0.0002726281352235551,1.9590413923210936,0.0005340898016142567,1.0,,,,,,,,,,,,,,,,,,,,,,0.015503875968992248,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
bureaucracy,2,nuclear,2,0.0002726281352235551,1.6580113966571124,0.00045202055525003066,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.02,,,,,,,,,,,0.007194244604316547,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
fivethirtyeight,2,media,1,0.0002726281352235551,1.9590413923210936,0.0005340898016142567,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.012048192771084338,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
